Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0,010070801;1,760846996;-8,4198E-05;1;1;0,00635603;-0,004051505;1 mA
0,020141602;1,861554995;-7,52563E-05;1;2;0,00635603;-0,004051505;1 mA
0,030212402;1,962262995;-6,71692E-05;1;3;0,00635603;-0,004051505;1 mA
0,040283203;2,062970995;-5,98145E-05;1;4;0,00635603;-0,004051505;1 mA
0,050354004;2,163678995;-5,29175E-05;1;5;0,00635603;-0,004051505;100 µA
0,060424805;2,264386994;-4,6698E-05;1;6;0,00635603;-0,004051505;100 µA
0,070495605;2,365094994;-4,09454E-05;1;7;0,00635603;-0,004051505;100 µA
0,080566406;2,465802994;-3,56262E-05;1;8;0,00635603;-0,004051505;100 µA
0,090637207;2,566510994;-3,0658E-05;1;9;0,00635603;-0,004051505;100 µA
0,100708008;2,667218993;-2,60529E-05;1;10;0,00635603;-0,004051505;100 µA
0,110778809;2,767926993;-2,17377E-05;1;11;0,00635603;-0,004051505;100 µA
0,120849609;2,868634993;-1,77002E-05;1;12;0,00635603;-0,004051505;100 µA
0,13092041;2,969342993;-1,39099E-05;1;13;0,00635603;-0,004051505;100 µA
0,140991211;3,070050992;-1,0321E-05;1;14;0,00635603;-0,004051505;100 µA
0,151062012;3,170758992;-6,89392E-06;1;15;0,00635603;-0,004051505;100 µA
0,161132813;3,271466992;-3,62793E-06;1;16;0,00635603;-0,004051505;100 µA
0,171203613;3,372174991;-5,34973E-07;1;17;0,00635603;-0,004051505;100 µA
0,181274414;3,472882991;2,47437E-06;1;18;0,00635603;-0,004051505;100 µA
0,191345215;3,573590991;5,33752E-06;1;19;0,00635603;-0,004051505;100 µA
0,201416016;3,674298991;8,2428E-06;1;20;0,00635603;-0,004051505;10 µA
0,211486816;3,77500699;1,10504E-05;1;21;0,00635603;-0,004051505;10 µA
0,221557617;3,87571499;1,38763E-05;1;22;0,00635603;-0,004051505;10 µA
0,231628418;3,97642299;1,67542E-05;1;23;0,00635603;-0,004051505;10 µA
0,241699219;4,07713099;1,97601E-05;1;24;0,00635603;-0,004051505;10 µA
0,25177002;4,177838989;2,29401E-05;1;25;0,00635603;-0,004051505;10 µA
0,26184082;4,278546989;2,63519E-05;1;26;0,00635603;-0,004051505;10 µA
0,271911621;4,379254989;3,00629E-05;1;27;0,00635603;-0,004051505;10 µA
0,281982422;4,479962989;3,41156E-05;1;28;0,00635603;-0,004051505;10 µA
0,292053223;4,580670988;3,85986E-05;1;29;0,00635603;-0,004051505;10 µA
0,302124023;4,681378988;4,35608E-05;1;30;0,00635603;-0,004051505;10 µA
0,312194824;4,782086988;4,89807E-05;1;31;0,00635603;-0,004051505;100 µA
0,322265625;4,882794988;5,51453E-05;1;32;0,00635603;-0,004051505;100 µA
0,332336426;4,983502987;6,19202E-05;1;33;0,00635603;-0,004051505;100 µA
0,342407227;5,084210987;6,94275E-05;1;34;0,00635603;-0,004051505;100 µA
0,352478027;5,184918987;7,76978E-05;1;35;0,00635603;-0,004051505;100 µA
0,362548828;5,285626987;8,68225E-05;1;36;0,00635603;-0,004051505;100 µA
0,372619629;5,386334986;9,68628E-05;1;37;0,00635603;-0,004051505;100 µA
0,38269043;5,487042986;0,00010791;1;38;0,00635603;-0,004051505;100 µA
0,39276123;5,587750986;0,000119934;1;39;0,00635603;-0,004051505;100 µA
0,402832031;5,688458986;0,000133026;1;40;0,00635603;-0,004051505;100 µA
0,412902832;5,789166985;0,000147278;1;41;0,00635603;-0,004051505;100 µA
0,422973633;5,889874985;0,000162659;1;42;0,00635603;-0,004051505;100 µA
0,433044434;5,990582985;0,000179138;1;43;0,00635603;-0,004051505;100 µA
0,443115234;6,091290985;0,000196869;1;44;0,00635603;-0,004051505;100 µA
0,453186035;6,191998984;0,00021582;1;45;0,00635603;-0,004051505;100 µA
0,463256836;6,292706984;0,000235931;1;46;0,00635603;-0,004051505;100 µA
0,473327637;6,393414984;0,000257202;1;47;0,00635603;-0,004051505;100 µA
0,483398438;6,494122984;0,000279633;1;48;0,00635603;-0,004051505;100 µA
0,493469238;6,594830983;0,000303162;1;49;0,00635603;-0,004051505;100 µA
0,503540039;6,695538983;0,000327698;1;50;0,00635603;-0,004051505;100 µA
0,51361084;6,796246983;0,000353119;1;51;0,00635603;-0,004051505;100 µA
